10166	Helm Point	Point
10167	Whale Skerries	Archipelago
10168	McCormick, Cape	Cape
10169	Thomson Point	Point
1017	Roussent	Commune
10170	Thorfinn Islands	Archipelago
10171	Thor Island	Island
10172	Lauzanne Cove	Cove
10173	Escandé, punta	Point
10174	Thorgaut Island	Island
10175	Prince Charles Strait	Strait
10176	Weertman Island	Island
10177	Lynch Island	Island
10178	Monroe Point	Point
10179	Freytag, cabo	Cape
1018	Marenla	Commune
10180	Johnson Island	Island
10181	Ivanoff Head	Headland
10182	Obelisk, Cape	Cape
10183	Elephant Flats	Flat
10184	Borg Island	Island
10185	Denison, Cape	Cape
10186	Cuvier Island	Island
10187	Shag Point	Point
10188	Shag Rock	Rock
10189	Shagnasty Island	Island
1019	Coudekerque-Village	Commune
10190	Buchan Bay	Bay
10191	Boreal Point	Point
10192	Cuverville Island	Island
10193	Boree Islands	Archipelago
10194	Bryant, Cape	Cape
10195	Redonda, bahía	Bay
10196	Silva Island	Island
10197	Redondo Point	Point
10198	Sillard Islands	Archipelago
10199	Redfearn Island	Island
102	Dartford	District
1020	Coudekerque-Branche	Commune
10200	Dyer Point	Point
10201	Barlow Island	Island
10202	Magnetic Island	Island
10203	Magnitologov, proliv	Strait
10204	Redshaw Point	Point
10205	Magnier, Península	Peninsula
10206	Scud Rock	Rock
10207	Scrymgeour, Cape	Cape
10208	Vostokkysten	Coast
10209	Vostok, Cape	Cape
1021	Bournonville	Commune
10210	Vozrozhdenija Bay	Bay
10211	Molholm Island	Island
10212	Collins Harbour	Harbour
10213	Collier, Cape	Cape
10214	Collins Bay	Bay
10215	Nelson Island	Island
10216	Moreno, islote	Island
10217	Newcomb Bay	Bay
10218	Newburgh Point	Point
10219	Dan, Cap des	Cape
1022	Brunembert	Commune
10220	Darbel Bay	Bay
10221	Sussy, Islote	Island
10222	Suszczewski Cove	Cove
10223	Darboux Island	Island
10224	Kinnes Cove	Cove
10225	Newman Island	Island
10226	Newell Point	Point
10227	Gonzalez, caleta	Cove
10228	Surprise, Cape	Cape
10229	Brattebotthalsen	Headland
1023	Nabringhen	Commune
10230	Neumayer Channel	Channel
10231	Bratsberghorten	Island
10232	Nestling Rock	Rock
10233	Gerlache Island	Island
10234	Gerlache Strait	Strait
10235	Ross, Islas	Archipelago
10236	Jameson Point	Point
10237	James Ross Island	Island
10238	Neumayer, Cape	Cape
10239	Mossman Inlet	Inlet
1024	Longueville	Commune
10240	James, Cape	Cape
10241	Cronk Islands	Archipelago
10242	Marina Point	Point
10243	Mossman Peninsula	Peninsula
10244	Mulock Inlet	Inlet
10245	Lyall Islands	Archipelago
10246	Kizahashi Beach	Beach
10247	Berlininseln	Archipelago
10248	Monti, punta	Point
10249	Beltrán, cabo	Cape
1025	Longfossé	Commune
10250	Belsham, Cape	Cape
10251	Beltrán, Islote	Island
10252	Beltrán, caleta	Cove
10253	Larsen Channel	Channel
10254	Ituzaingó, punta	Point
10255	Lookout Islands	Archipelago
10256	Belousov Point	Point
10257	Michajlovodden	Cape
10258	Gurruchaga, punta	Point
10259	Maher Island	Island
1026	Henneveux	Commune
10260	Gorev Island	Island
10261	Streten, Cape	Cape
10262	Gurney Point	Point
10263	Cornish Islands	Archipelago
10264	Cornish, Cape	Cape
10265	Perekhodnyj, Cape	Cape
10266	Peremennyy, Cape	Cape
10267	Buchanan Bay	Bay
10268	Bon Accostage, Baie du	Bay
10269	Perch Island	Island
1027	Belle-et-Houllefort	Commune
10270	Bonaparte Point	Point
10271	Peralta, caleta	Cove
10272	Perce Point	Point
10273	Cornes, punta	Point
10274	Cornet Island	Island
10275	Adams Fjord	Fjord
10276	Taylor Point	Point
10277	Arrival Bay	Bay
10278	Vortex Island	Island
10279	Luchistaja Bay	Bay
1028	Bainghen	Commune
10280	Vorweg Point	Point
10281	Arnold Cove	Cove
10282	Arnel Bluffs	Rock
10283	Voskhod Bay	Bay
10284	Wikitoria Bank	Bank
10285	Corner Rock	Rock
10286	Splitwind Island	Island
10287	Lamarck Island	Island
10288	Split Rock	Rock
10289	Lajkonik Rocks	Rock
1029	Wirwignes	Commune
10290	Lajka Island	Island
10291	Laktionov Island	Island
10292	Alexander Island	Island
10293	Couling Island	Island
10294	Spooner Bay	Bay
10295	Lassiter Coast	Coast
10296	Groves Island	Island
10297	Murray Islands	Archipelago
10298	Schott Inlet	Inlet
10299	Grant Island	Island
103	Dover	District
1030	Saint-Martin-Choquel	Commune
10300	Sack Island	Island
10301	Sabugo, Bajo	Bay
10302	Scholander Island	Island
10303	Schokalsky Bay	Bay
10304	Schollaert Channel	Channel
10305	Saddle Island	Island
10306	Pelletan Point	Point
10307	Briand, bahía	Bay
10308	Lafond Bay	Bay
10309	Minstrel Point	Point
1031	Bellebrune	Commune
10310	Pelayo, cabo	Cape
10311	Lodge Rock	Rock
10312	Brosnahan Island	Island
10313	Tu Rocks	Rock
10314	Tsiolkovskiy Island	Island
10315	Holluschickie Bay	Bay
10316	Pelseneer Island	Island
10317	Brouardel Point	Point
10318	Antonelli, punta	Point
10319	Anton Island	Island
1032	Crémarest	Commune
10320	Brooks, Cape	Cape
10321	Black Island Channel	Channel
10322	Antarctic Sound	Sound
10323	Black Head	Headland
10324	Daly, Cape	Cape
10325	Mizukuguri Cove	Cove
10326	Antenna Island	Island
10327	Black Coast	Coast
10328	Black Cap	Cape
10329	Doubtful Island	Island
1033	Selles	Commune
10330	Kemp Rock	Rock
10331	Douglas Islands	Archipelago
10332	Douglas Bay	Bay
10333	Buzfuz Rock	Rock
10334	Mikuro-iwa	Reef
10335	Limpet Island	Island
10336	Limitrophe Island	Island
10337	Dendtler Island	Island
10338	Lillo, Punta	Point
10339	Kiwibukta	Bay
1034	Lottinghen	Commune
10340	Kujira Point	Point
10341	Deception Island	Island
10342	Varna Peninsula	Peninsula
10343	Pléneau Island	Island
10344	Crab Stack	Island
10345	Rubio, punta	Point
10346	Steinheil Point	Point
10347	Variable, cabo	Cape
10348	Steinemann Island	Island
10349	Platt Point	Point
1035	Senlecques	Commune
10350	Gardner Island	Island
10351	Plato Island	Island
10352	Eolovyj, Cape	Cape
10353	Rudmose Rocks	Rock
10354	Plaza Point	Point
10355	Henkes Islands	Archipelago
10356	Linsley Peninsula	Peninsula
10357	Lewis Bay	Bay
10358	Kinnes, Cape	Cape
10359	Hook Island	Island
1036	Quesques	Commune
10360	Lallemand Fjord	Fjord
10361	June Island	Island
10362	Cruzen Island	Island
10363	Winds, Bay Of	Bay
10364	Window Island	Island
10365	Windmill Islands	Archipelago
10366	Balleny Basin	Basin
10367	Windless Bight	Bight
10368	Balleny Trough	Trough
10369	Heckmann Island	Island
1037	Menneville	Commune
10370	Kaochaduiyuan Tan	Beach
10371	Monteverdi Peninsula	Peninsula
10372	Heap Island	Island
10373	Sanyuan Dao	Island
10374	Sapozhok Island	Island
10375	Hearst Island	Island
10376	Echeverry, Ensenada	Bay
10377	Low Island	Island
10378	Sørbukta	Bay
10379	Sore Thumb	Rock
1038	Alincthun	Commune
10380	Peake-Jones Rock	Rock
10381	Peale Inlet	Inlet
10382	Sooty Rock	Rock
10383	Péage Island	Island
10384	Peacock Sound	Sound
10385	Humps Island	Island
10386	Florence Rock	Rock
10387	Pchelka Island	Island
10388	Peace Island	Island
10389	Whitson, Cape	Cape
1039	Courset	Commune
