id	resolution	upstream	target	note
TH-11	upstream	iso-3166-2-subdivisions		
TH-12	upstream	iso-3166-2-subdivisions		
TH-13	upstream	iso-3166-2-subdivisions		
TH-14	upstream	iso-3166-2-subdivisions		
TH-15	upstream	iso-3166-2-subdivisions		
TH-16	upstream	iso-3166-2-subdivisions		
TH-17	upstream	iso-3166-2-subdivisions		
TH-18	upstream	iso-3166-2-subdivisions		
TH-19	upstream	iso-3166-2-subdivisions		
TH-20	upstream	iso-3166-2-subdivisions		
TH-21	upstream	iso-3166-2-subdivisions		
TH-22	upstream	iso-3166-2-subdivisions		
TH-23	upstream	iso-3166-2-subdivisions		
TH-24	upstream	iso-3166-2-subdivisions		
TH-25	upstream	iso-3166-2-subdivisions		
TH-26	upstream	iso-3166-2-subdivisions		
TH-27	upstream	iso-3166-2-subdivisions		
TH-30	upstream	iso-3166-2-subdivisions		
TH-31	upstream	iso-3166-2-subdivisions		
TH-32	upstream	iso-3166-2-subdivisions		
TH-33	upstream	iso-3166-2-subdivisions		
TH-34	upstream	iso-3166-2-subdivisions		
TH-35	upstream	iso-3166-2-subdivisions		
TH-36	upstream	iso-3166-2-subdivisions		
TH-37	upstream	iso-3166-2-subdivisions		
TH-38	upstream	iso-3166-2-subdivisions		
TH-39	upstream	iso-3166-2-subdivisions		
TH-40	upstream	iso-3166-2-subdivisions		
TH-41	upstream	iso-3166-2-subdivisions		
TH-42	upstream	iso-3166-2-subdivisions		
TH-43	upstream	iso-3166-2-subdivisions		
TH-44	upstream	iso-3166-2-subdivisions		
TH-45	upstream	iso-3166-2-subdivisions		
TH-46	upstream	iso-3166-2-subdivisions		
TH-47	upstream	iso-3166-2-subdivisions		
TH-48	upstream	iso-3166-2-subdivisions		
TH-49	upstream	iso-3166-2-subdivisions		
TH-50	upstream	iso-3166-2-subdivisions		
TH-51	upstream	iso-3166-2-subdivisions		
TH-52	upstream	iso-3166-2-subdivisions		
TH-53	upstream	iso-3166-2-subdivisions		
TH-54	upstream	iso-3166-2-subdivisions		
TH-55	upstream	iso-3166-2-subdivisions		
TH-56	upstream	iso-3166-2-subdivisions		
TH-57	upstream	iso-3166-2-subdivisions		
TH-58	upstream	iso-3166-2-subdivisions		
TH-60	upstream	iso-3166-2-subdivisions		
TH-61	upstream	iso-3166-2-subdivisions		
TH-62	upstream	iso-3166-2-subdivisions		
TH-63	upstream	iso-3166-2-subdivisions		
TH-64	upstream	iso-3166-2-subdivisions		
TH-65	upstream	iso-3166-2-subdivisions		
TH-66	upstream	iso-3166-2-subdivisions		
TH-67	upstream	iso-3166-2-subdivisions		
TH-70	upstream	iso-3166-2-subdivisions		
TH-71	upstream	iso-3166-2-subdivisions		
TH-72	upstream	iso-3166-2-subdivisions		
TH-73	upstream	iso-3166-2-subdivisions		
TH-74	upstream	iso-3166-2-subdivisions		
TH-75	upstream	iso-3166-2-subdivisions		
TH-76	upstream	iso-3166-2-subdivisions		
TH-77	upstream	iso-3166-2-subdivisions		
TH-80	upstream	iso-3166-2-subdivisions		
TH-81	upstream	iso-3166-2-subdivisions		
TH-82	upstream	iso-3166-2-subdivisions		
TH-83	upstream	iso-3166-2-subdivisions		
TH-84	upstream	iso-3166-2-subdivisions		
TH-85	upstream	iso-3166-2-subdivisions		
TH-86	upstream	iso-3166-2-subdivisions		
TH-90	upstream	iso-3166-2-subdivisions		
TH-91	upstream	iso-3166-2-subdivisions		
TH-92	upstream	iso-3166-2-subdivisions		
TH-93	upstream	iso-3166-2-subdivisions		
TH-94	upstream	iso-3166-2-subdivisions		
TH-95	upstream	iso-3166-2-subdivisions		
TH-96	upstream	iso-3166-2-subdivisions		
TH-S	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TJ	upstream	iso-3166-1-countries		
TJ-DU	upstream	iso-3166-2-subdivisions		
TJ-GB	upstream	iso-3166-2-subdivisions		
TJ-KT	upstream	iso-3166-2-subdivisions		
TJ-RA	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TJ-SU	upstream	iso-3166-2-subdivisions		
TK	upstream	iso-3166-1-subunits		
TL	upstream	iso-3166-1-countries		
