id	resolution	upstream	target	note
UG-332	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UG-335	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UG-336	placeholder-country-centroid	iso-3166-2-placeholder-country-centroid		no coords in Wikidata; centroid of UG
UG-337	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
UG-401	upstream	iso-3166-2-subdivisions		
UG-402	upstream	iso-3166-2-subdivisions		
UG-403	upstream	iso-3166-2-subdivisions		
UG-404	upstream	iso-3166-2-subdivisions		
UG-405	upstream	iso-3166-2-subdivisions		
UG-406	upstream	iso-3166-2-subdivisions		
UG-407	upstream	iso-3166-2-subdivisions		
UG-408	upstream	iso-3166-2-subdivisions		
UG-409	upstream	iso-3166-2-subdivisions		
UG-410	upstream	iso-3166-2-subdivisions		
UG-411	upstream	iso-3166-2-subdivisions		
UG-412	upstream	iso-3166-2-subdivisions		
UG-413	upstream	iso-3166-2-subdivisions		
UG-414	upstream	iso-3166-2-subdivisions		
UG-415	upstream	iso-3166-2-subdivisions		
UG-416	upstream	iso-3166-2-subdivisions		
UG-417	upstream	iso-3166-2-subdivisions		
