160285	Qikirtaarjuk Island
166206	Grosse île au Marteau
273333	Tussac
273711	Cheval
273737	Borneo
273738	Cuba
273739	Devon
273740	Flores
273741	Hainan
273742	Halmahera
273743	Hispaniola
273744	Honshu
273745	Ireland
273746	Java
273747	Kotelny
273748	Kyushu
273749	Luzon
273750	Madagascar
273751	Marajo
273752	Melville
273753	Mindanao
273754	Negros
273755	New Britain
273756	Newfoundland
273757	Nordaustland
273758	October Revolution
273759	Palawan
273760	Panay
273761	Prince Patrick
273762	Sakhalin
273763	Samar
273764	Sardinia
273765	Seram
273766	Severny
273767	Shikoku
273768	Sicily
273769	Somerset
273770	South Island
273771	Southampton
273772	Sri Lanka
273773	Sulawesi
273774	Sumatra
273775	Sumbawa
273776	Tasmania
273777	Timor
273778	Vancouver
273779	Victoria
273780	Yuzhny
273781	North Island
273782	Mindoro
273783	Dolak
273784	Bangka
273785	Elleg Ringnes
273786	Bolshevik
273787	Jamaica
273788	Bylot
273789	Sumba
273790	Fiji
273791	Hawaii
273792	Prince Charles Island
273793	Bougainville
273794	Kodiak
273795	Cyprus
273796	Puerto Rico
273797	Komsomolets
273798	Chiloe
273799	Buru
273800	Crete
273801	Anticosti
273802	New Ireland
273803	Leyte
273804	East Falkland
273805	Zealand
273806	Cornwallis
273807	Prince of Wales
273808	New Siberia
273809	Melville
273810	Prince Edward
273811	Wellington
273812	Coats
273813	Bali
273814	Chicagof
273815	Guadalcanal
273816	Great Lyakhovsky
273817	St. Lawrence
273818	Edgeoya
273819	Mackenzie King
273820	Caviana
273821	Kolguyev
273822	Trinidad
273823	Isabela
273824	North Jutlandic
273825	Lombok
273826	West Falkland
273827	Belitung
273828	Cebu
273829	Stefansson
273830	Madura
273831	Buton
273832	Kangaroo
273833	Admiralty
273834	Nunivak
273835	Unimac
273836	Hoste_Stewart
273837	Baranof
273838	Nias
273839	Espiritu Santo
273840	Milne Land
273841	Malaita
273842	Siberut
273843	Bohol
273844	South Georgia and the South Sandwich Islands
273845	Santa Ines
273846	Majorca
273847	Santa Isabel
273848	Long
273849	Socotra
273850	Wetar
273851	Traill
273852	North Andros
273853	Vaygach
273854	Masbate
273855	Ituruo
273856	Makira
273857	Mansel
273858	Yamdena
273859	Waigeo
273860	Akimiski
273861	Gotland
273862	Funen
273863	Choiseul
273864	Revillagigedo
273865	Taliabu
273866	Muna
273867	Zemlya Georga
273868	Kupreanof
273869	Borden
273870	North Andaman
273871	Unalaska
273872	Saaremaa
273873	Obira
273874	Reunion
273875	Navarino
273876	Paramushir
273877	Ymer
273878	Karaginsky
273879	Cornwall
273880	Peleng
273881	Groot Eylandt
273882	Yapen
273883	Morotai
273884	Princess Royal
273885	Juventud
273886	Wilczek Land
273887	Hinnoya
273888	Richards
273889	Trangan
273890	Alor
273891	Lewis and Harris
273892	Laut
273893	Malakula
273894	New Georgia
273895	Magdalena
273896	Tenerife
273897	Ayon
273898	Kuiu
273899	Manus
273900	Bioko
273901	Biak
273902	Maui
273903	Bacan
273904	Mauritius
273905	Fraser
273906	Jeju
273907	Stewart
273908	Bely
273909	Afognak
273910	Umnak
273911	Bolshoy Shantar
273912	Bolshoy Begichev
273913	Simeulue
273914	Kobroor
273915	Natuna Besar
273916	Savaii
273917	Geographical Society
273918	Bathurst
273919	Bering
273920	Skye
273921	Lesbos
273922	Fuerteventura
273923	Salawati
273924	Great Inagua
273925	Kunashir
273926	Tanahbesar
273927	Rantau
273928	Senja
273929	Flaherty
273930	Oahu
273931	Zanzibar
273932	Graham Bell
273933	Eglinton
273934	Middle Andaman
273935	Clavering
273936	Gran Canaria
273937	Pioneer
273938	Great Karimun
273939	Cataduanes
273940	Rupat
273941	Qeshm
273942	Nares Land
273943	South Andros
273944	Bhola
273945	Fergusson
273946	Urup
273947	Kauai
273948	Sao Luis
273949	Rhodes
273950	Graham
273951	Pitt
273952	Nottingham
273953	Desolacion
273954	Ramree
273955	Flinders Land
273956	Oland
273957	Lougheed
273958	Barentsoya
273959	Lembata
273960	Chongming
273961	Basilan
273962	Shannon
273963	Lolland
273964	Mangole
273965	New Hanover
273966	Rote
273967	South Andaman
273968	Okinawa
273969	Oleniy
273970	Tiburon
273971	Bintan
273972	Martinique
273973	Aracena
273974	Byam Martin
273975	Great Abaco
273976	Lifou
273977	Wales
273978	Vanier
273979	Upolu
273980	King
273981	Clarence
273982	Grand Bahama
273983	Alexandra Land
273984	Rowley
273985	Tahiti
273986	Serrano
273987	Atka
273988	Cameron
273989	Hall
273990	Madre de Dios
273991	Normanby
273992	Hiiumaa
273993	Margarita
273994	Resolution
273995	Grande Comore
273996	Mornington
273997	Rugen
273998	Meighan
273999	Shetland Mainland
274000	Banks
274001	Nelson
274002	Vansittart
274003	Maya Karimata
274004	Russell
274005	Santa Cruz
274006	Mala Lyakhovsky
274007	Salisbury
274008	Great Nicobar
274009	Langoya
274010	Angel de la Guarda
274011	Sado
274012	Umboi
274013	Bengkalis
274014	Marinduque
274015	Rangsang
274016	Efate
274017	Jens Munk
274018	Pemba
274019	Lingga
274020	Erromango
274021	Mull
274022	Guadeloupe
274023	Muyua
274024	Kabaena
274025	Etolin
274026	Jolo
274027	Sudest
274028	Melchor
274029	Sao Tome
274030	Sibirykova
274031	Karakelong
274032	King
274033	Khios
274034	Hanover
274035	Ambon
274036	Salisbury
274037	Sangmissoq
274038	Lanzarote
274039	Dominica
274040	Santo Antao
274041	Cephalonia
274042	Ammassilik
274043	Dinagat
274044	Sao Miguel
274045	Prat
274046	Kvaloy
274047	Singkep
274048	Dahlak
274049	Brock
274050	Madeira
274051	Chatham
274052	Batanta
274053	Kofiau
274054	Adak
274055	Montague
274056	Aland
274057	Pantar
274058	Wowoni
274059	Little Andaman
274060	Chatham
274061	Menorca
274062	Bray
274063	La Palma
274064	Kolombangara
274065	Goodenough
274066	Buka
274067	Molokai
274068	Ambrym
274069	Foley
274070	Air Force
274071	Bahrain
274072	Bubiyan
274073	Salayar
274074	Rennell
274075	Ringvassoy
274076	Mare
274077	Alluttoq
274078	Dall
274079	Anglesey
274080	King Christian Island
274081	Londonderry
274082	Saint Lucia
274083	Boa Vista
274084	Santiago
274085	Kuhn
274086	Polillo
274087	Vella Lavela
274088	Fernandina
274089	Prince Charles Foreland
274090	Corfu
274091	Contreras
274092	Dirk Hartog
274093	Pagai Utara
274094	Islay
274095	Benjamin
274096	Store Koldeway
274097	MacKlintock
274098	Bornholm
274099	Sipura
274100	Seiland
274101	Hendrik
274102	Tawitawi
274103	Santiago
274104	North Kent
274105	Isle of Man
274106	Hitra
274107	Patricio
274108	Guimaras
274109	Wrangell
274110	Zarembo
274111	Mitkoff
274112	Sulabesi
274113	Tanna
274114	Emerald
274115	Sangir
274116	Kai Besar
274117	San Cristobal
274118	Guam
274119	Upernivik
274120	Cozumel
274121	Long
274122	Jorge Montt
274123	Singapore
274124	Belkovskiy
274125	Iceland
274126	Ellesmere
274127	Great Britain
274128	New Guinea
274129	Hokkaido
274130	Banks
274131	Tierra del Fuego
274132	Axel Heiberg
274133	Spitsbergen
274134	Taiwan
274135	New Caledonia
274136	King William
274137	Corsica
274138	Disko
274139	Cape Breton
274140	Kerguelen
274141	Amund Ringnes
274142	Vanua Levu east of dateline
274143	Vanua Levu west of dateline
274144	Euboea
274145	Graham
274146	Moresby
274147	Misool
274148	Air Force
274149	Dawson
274150	Campana
274151	Attu
274152	Gordon
274153	Ibiza
274154	Orkney
274155	Prince of Wales
274156	Austvagoy
274157	Duke of York
274158	Nootka
274159	Tanaga
274160	Mornington
274161	Yakushima
274162	Jerba
274163	Porcher
274164	Jackson
274165	Traiguen
274166	Esmeralda
274167	Andoya
274168	Andonara
274169	Vangunu
274170	Acklins
274171	Nendo
274172	Biliran
274173	Isla de los Estados
274174	Long
